source,date,headline,entities
daily_nation,2018-12-08,MAGESHA: Uhuru has called MPs bluff on perks,"magesha, uhuru"
standard,2018-12-08,Uhuru reveals what he likes about Rosemary Odinga,"uhuru, odinga"
star,2018-12-08,NHIF millionaire receptionist Raila-Uhuru Nyanza tour Abandoned Malindi: Your Breakfast Briefing,"nhif, raila, uhuru, nyanza"
daily_nation,2018-12-09,OPANGA: Eleven reasons why Uhuru must never give in to MPs plunder,"opanga, uhuru"
standard,2018-12-09,Mbunge Rigathi Gachagua amemtetea Rais Uhuru kwa kumteua Moody Awori,"rigathi gachagua, uhuru, moody awori"
daily_nation,2018-12-10,High hopes as Uhuru tours Nyanza,"uhuru, nyanza"
daily_nation,2018-12-10,Knut rejects Uhuru's housing pla,"uhuru, knut"
standard,2018-12-10,Uhuru Nyanza tour: List of wishes in pipeline,"uhuru, nyanza"
star,2018-12-10,Uhuru visit triggers Orengo-Raila rivalry,"uhuru, orengo, raila"
star,2018-12-10,Orengo 'fights' Uhuru visit 218 maize debacle Kenyans hail anti-graft war: Your Breakfast Briefing,"orengo, uhuru"
star,2018-12-10,I'll be the next president after Uhuru - Kalonzo,"uhuru, kalonzo"
daily_nation,2018-12-11,Uhuru-Kalonzo deal not helpful Kibwana insists,"uhuru, kalonzo, kibwana"
standard,2018-12-11,Mudavadi continues attacks on Uhuru Jubilee over debt,"uhuru, mudavadi, jubilee"
star,2018-12-11,NYS loot recovery Kivutha vs Kalonzo Uhuru's Nyanza goody bag: Your Breakfast Briefing,"nys, kivutha, kalonzo,uhuru"
star,2018-12-11,Uhuru to launch Sh37bn dam water pipeline in Nyanza tour,"uhuru, nyanza"
standard,2018-12-12,Raila defends Uhurus move to appoint former Vice President Moody Awori,"raila, uhuru, moody awori"
daily_nation,2018-12-13,Uhuru raps State agencies for frustrating SMEs,uhuru
daily_nation,2018-12-13,Uhuru sports full military gear at Nyayo,"uhuru, nyayo stadium"
standard,2018-12-13,"Uhuru, Raila in historic Nyanza visi","uhuru, raila, nyanza"
standard,2018-12-13,Uhuru to launch UHC project in Kisum,"uhuru, uhc, kisum"
standard,2018-12-13,Why Uhuru wore his Military uniform on Jamuhuri Day,"uhuru, jamuhuri day"
standard,2018-12-13,Uhuru set to visit Kisumu from the first time since his Handshake with Raila,"kisumu, uhuru, raila"
daily_nation,2018-12-14,"Uhuru, Raila and Ruto lead show of unity","uhuru, raila, ruto"
daily_nation,2018-12-14,Raila lands in Kisumu ahead of Uhuru's visit,"kisumu, uhuru"
daily_nation,2018-12-14,Uhuru coming to Raila's Kisumu Siaya turf,"uhuru, raila, kisumu, siaya"
daily_nation,2018-12-14,Ruto arrives in Kisumu ahead of President Kenyatta's planned,"ruto, kisumu, uhuru"
daily_nation,2018-12-14,Nyanza welcomes Uhuru,"uhuru, nyanza"
standard,2018-12-14,"beginning as Uhuru, Raila cement handshake in Nyanza","uhuru, raila, nyanza"
standard,2018-12-14,Uhuru receives grand reception in historic Kisumu visi,"uhuru, kisumu"
star,2018-12-14,Knut rejects Uhurus Big 4 housing levy,"uhuru, knut"
star,2018-12-14,Uhuru's full speech at historic launch of UHC in Kisum,"uhuru, uhc, kisumu"
star,2018-12-14,Free treatment for Kisumu Isiolo Nyeri and Machakos residents as Uhuru launches UHC,"kisumu, machakos, uhuru, uhc"
star,2018-12-14,Raila shares light moment with Ruto ahead of Uhuru's arrival in Kisum,"raila, uhuru, kisumu"
star,2018-12-14,Uhuru warns graft lords UHC rollout Matatu menace: Your Breakfast Briefing,"uhuru, uhc"
star,2018-12-14,Raila promises goodies as Uhuru begins Nyanza tour,"raila, uhuru, nyanza"
star,2018-12-14,Luhya chiefs to meet Uhuru says Savula,"luhya, uhuru, savula"
daily_nation,2018-12-15,Uhuru's exclusive meeting with Luo leaders,"uhuru, luo"
daily_nation,2018-12-15,Aukot wants Uhuru-Raila unity team disbanded,"aukot, uhuru, raila"
daily_nation,2018-12-15,Intrigue over Uhuru-Raila peace deal simmers,"raila, uhuru"
daily_nation,2018-12-15,"Uhuru, Raila get doctorates for peace deal","uhuru, raila"
daily_nation,2018-12-15,"Uhuru, Raila get honorary Jaramogi university degrees for peace deal","uhuru, raila, jaramogi university"
standard,2018-12-15,Raila hosts President Kenyatta for breakfast in Bondo home,"raila, uhuru, siaya"
star,2018-12-15,Uhuru Nyanza leaders focus on growth,"uhuru, nyanza"
star,2018-12-15,"Uhuru, Raila conferred honorary degrees over handshake","uhuru, raila"
star,2018-12-15,Uhuru hints referendum  EACC broom Graft killing family businesses: Your Breakfast Briefing,"uhuru, eacc"
daily_nation,2018-12-16,Uhurus tour of Nyanza is good for country: Mudavadi,"nyanza, mudavadi, uhuru"
daily_nation,2018-12-16,"Intrigues of Raila, Uhuru night meeting","raila, uhuru"
daily_nation,2018-12-16,OPANGA: Uhuru tour brought together past present and future of Kenya,"opanga, uhuru, kenya"
standard,2018-12-16,Why Uhuru's Bondo visit is special,"uhuru, bondo"
star,2018-12-16,Raila slams Ruto over remark during Uhuru Nyanza tour,"uhuru, nyanza, raila"
business_daily,2018-12-17,"Uhuru, Ruto reduce their foreign travel bill to four-year low","uhuru, ruto"
daily_nation,2018-12-17,Uhuru and Raila: The untold story,"uhuru, raila"
daily_nation,2018-12-17,Rift in Wiper widens amid questions over Uhuru-Kalonzo pac,"wiper, uhuru, kalonzo"
standard,2018-12-17,Handshake could be a Uhuru and Raila affair,"uhuru, raila"
star,2018-12-17,Luo leaders offer Uhuru PM job in exchange for Raila 222 suppor,"luo, uhuru, raila"
star,2018-12-17,No one kicked us out of Uhurus meeting we left to attend funeral says Nyagarama,"uhuru, nyagarama"
star,2018-12-17,Poor planning cost Siaya Uhuru goodies two ward reps lamen,"siaya, uhuru"
standard,2018-12-18,I have no secret deal with Uhuru Kalonzo tells critics,"uhuru, kalonzo"
daily_nation,2018-12-19,No deal with Uhuru Kalonzo says,"uhuru, kalonzo"
star,2018-12-19,Has agriculture cabinet secretary Mwangi Kiunjuri abandoned the Sugar industry taskforce that Uhuru set up...,"kiunjuri, sugar taskforce, uhuru, agriculture ministry"
star,2018-12-21,DPP Haji's resolve Linturi's wife files divorce Uhuru anti-graft rattle: Your Breakfast Briefing,"dpp, haji, linturi, uhuru"
star,2018-12-22,WAMERE: Uhuru's comments on youth insensitive mockery,"uhuru, wamere"
daily_nation,2018-12-23,OTIENO: Ruto and Raila to give Uhuru much headache,"otieno, raila, uhuru"
daily_nation,2018-12-23,OPANGA: Why Uhuru and Raila shouldnt burden Kenyans with more offices,"opanga, uhuru, raila"
daily_nation,2018-12-23,AMUKE: Leaders should never abandon roles despite Uhuru-Raila deal,"uhuru, amuke"
standard,2018-12-23,Uhuru appoints  PSC commissioners,"uhuru, psc"
standard,2018-12-23,Uhuru orders Maraga wife be airlifted to Nairobi for specialised treatmen,"uhuru, maraga, nairobi"
standard,2018-12-24,Uhuru surprises passengers on SGR train (),"uhuru, sgr"
standard,2018-12-24,Why angry Uhuru lectured sports CS Echesa in front of Raila,"uhuru, echesa, raila"
star,2018-12-24,Uhuru mingles with passengers on surprise SGR trip to Mombasa,"uhuru, mombasa"
star,2018-12-24,Maraga thanks Uhuru Kenyans for support after Nakuru acciden,"maraga, uhuru, nakuru"
star,2018-12-24,Uhuru hands Paul Otuoma Bob Collymore parastatal jobs,"uhuru, paul otuoma, colleymore"
standard,2018-12-25,Uhuru takes train ride to Coast as cruise ship docks,"uhuru, coast"
star,2018-12-26,Uhuru bizarre appointments and Raila's hand in them,"uhuru, raila"
standard,2018-12-29,"Ruto using allies to fight Uhuru, Raila peace deal","uhuru, raila"
standard,2018-12-29,Uhuru: China is not out to recolonise Africa in fact they have never colonised Africa,"uhuru, china, africa"
standard,2018-12-29,Uhuru on building bridges initiative,"uhuru, building bridges intiative"
standard,2018-12-29,Uhuru: I have a partner in Raila that never again will we fight because of electio,"uhuru, raila"
standard,2018-12-29,Uhuru: It was the greatest moment with Raila when we were not talking,"uhuru, raila"
star,2018-12-29,Uhuru says Jubilee has its 222 plan distances himself from Murathe,"uhuru, jubilee, murathe"
star,2018-12-29,219 Kenyan movers Raila on Rosemary's illness Uhuru's blow to opposition : Your Breakfast Briefing,"raila, odinga, uhuru"
daily_nation,2018-12-30,Uhuru and Raila must bring all to unity trai,"uhuru, raila"
daily_nation,2018-12-30,Why Mark Masai is trending after Uhuru,"mark masai, uhuru, china"
daily_nation,2018-12-30,"OTIENO: Why Building Bridges is the wrong job for Uhuru, Raila","uhuru, raila, otieno"
standard,2018-12-30,Uhuru: We have never for one day spoken with Raila about 222,"uhuru, raila"
standard,2018-12-30,"Uhuru assures Kenyans Mombasa Port is safe says \we're ahead of our payment schedule\"",""h5","uhuru, mombasa"
standard,2018-12-30,UHURU: Japan's debt is over 1% of country's GDP ours is only 56%. I will borrow for developmen,"uhuru, japan"
star,2018-12-30,"I have a partner in Raila, Uhuru says in defence of handshake","raila, uhuru"
daily_nation,2018-12-31,Uhuru on Ruto's 222 presidential ambitions,"uhuru, ruto"
daily_nation,2018-12-31,Uhuru on David Murathe's remarks over his 222 succession.,"uhuru, murathe"
daily_nation,2018-12-31,MP Ndindi Nyoro slams David Murathe over Uhuru's succession remarks,"ndindi nyoro, murathe, uhuru"
daily_nation,2018-12-31,"Ruto allies plot against Uhuru, Raila alliance","uhuru, raila"
standard,2018-12-31,Kanze Dena: Why woman crawled behind Uhuru during  TV,"kanze dena, uhuru"
daily_nation,2019-01-01,Uhuru signs law to clean up NYS,"uhuru, nys"
daily_nation,2019-01-01,Uhuru failed Kenyans in 218: Mudavadi,"uhuru, mudavadi"
star,2019-01-02,Ruto not right man to lead after Uhuru says Murathe,"uhuru, murathe"
daily_nation,2019-01-04,Moses Kuria faults Uhuru over projects,"kuria, uhuru"
standard,2019-01-04,Kuria under fire for claiming Uhuru has ignored Central,"kuria, uhuru, central"
standard,2019-01-04,How WB data shows Uhuru wrong on debts,"world bank, uhuru"
star,2019-01-04,Mt Kenya Uhuru succession 'Useful idiots' in 222 Murathe speaking for Uhuru?: Your Breakfast Briefing,"mt. kenya, uhuru, uhuru"
star,2019-01-04,Uhuru succession hots up in Central,"uhuru, central"
star,2019-01-04,[] I didn't insult Uhuru Kuria says tells off Waititu and Wamuchomba over poor developmen,"uhuru, kuria, waititu, wamuchomba"
star,2019-01-04,Kikuyu elders criticise Kuria over 'reckless' Uhuru commen,"kuria, uhuru, kikuyu"
star,2019-01-04,Waititu defends Uhuru from claims he sidelined Kiamb,"waititu, uhuru, kiambu"
star,2019-01-04,MPs slam Kuria over Uhuru slur say it undermines handshake,"kuria, uhuru"
star,2019-01-04,SANG: Is Uhuru speaking through Murathe?,"uhuru, murathe, sang"
daily_nation,2019-01-05,Kuria's claim of Uhuru abandonment causes storm,"kuria, uhuru"
standard,2019-01-05,"Uhuru, Raila and Ruto in Coast amid battle for the regions hear","uhuru, raila, coast"
standard,2019-01-05,Analysis: Ruto this way Raila that way Uhurus foot on each side,"raila, uhuru"
standard,2019-01-06,Uhuru ally's court plan to block Ruto,"uhuru, ruto"
daily_nation,2019-01-07,Murathe bad for Uhuru legacy: MP,"uhuru, murathe, mp"
daily_nation,2019-01-07,Uhuru mourns O Mugenda's husband,"uhuru, olive mugenda"
daily_nation,2019-01-07,BAGAKA: Revisit Kenyatta-Odinga pact to guide reforms,"odinga, kenyatta, bagaka, uhuru, raila"
standard,2019-01-07,Uhuru drawn into Murathe attacks on DP over successio,"uhuru, murathe, dp"
standard,2019-01-07,"218 Review: Uhuru, Railas handshake on Kenyan economy","uhuru, raila"
star,2019-01-07,Ruto allies threaten Uhuru SGR land payouts y Hyacinth kills fishing: Your Breakfast Briefing,"uhuru, ruto"
star,2019-01-07,Murathe speaks for Uhuru on Jubilee affairs,"uhuru, jubilee, murathe"
star,2019-01-07,Does Jubilee Party vice chairman David Murathe have the blessings of Uhuru in his constant outburst targeted...,"jubilee, murathe, uhuru"
business_daily,2019-01-08,Uhuru dismisses claims of neglecting Mount Kenya,"uhuru, mt. kenya"
daily_nation,2019-01-08,Matiangi should succeed Uhuru  MP,"matiangi, uhuru, mp"
standard,2019-01-08,Uhuru firm on Raila turns gun on critics,"uhuru, raila"
standard,2019-01-08,Uhuru in a tight spot over anti-Ruto 222 poll remarks,"uhuru, ruto"
star,2019-01-08,Uhuru and Raila to determine next presiden,"uhuru, raila"
star,2019-01-08,Leaders back Kuria over Uhuru has neglected Kiambu speech,"kuria, uhuru, kiambu"
daily_nation,2019-01-09,Nakuru MP in demo against Uhuru slur,"nakuru, uhuru"
daily_nation,2019-01-09,Uhuru leads tributes to 'gifted' Bruce Odhiambo,"uhuru, bruce odhiambo"
star,2019-01-09,Ruto rushes to defend Uhuru against attacks,"uhuru, ruto"
daily_nation,2019-01-10,Mt Kenya leaders defend Uhuru's track record,"mt. kenya, uhuru"
daily_nation,2019-01-10,OBBO: Why Uhuru and Magufuli also have to be tough guys,"uhuru, magufuli, obbo"
standard,2019-01-10,"Gloves off in Uhuru, Ruto allies battle","uhuru, ruto"
standard,2019-01-10,A section of Jubilee leaders take the mantle in defending Uhuru (Part 2)|The Big Story,"jubilee, uhuru"
star,2019-01-10,Mt Kenya politicians attack Ruto defend Uhuru as rifts within Jubilee party wide,"mt. kenya, uhuru"
star,2019-01-10,Hunt is on for Mt Kenya kingpin or queenpin to replace Kenyatta,"mt. kenya, uhuru"
star,2019-01-11,Give Uhuru time to work says Gem MP,"uhuru, gem"
daily_nation,2019-01-12,Uhuru is Mt Kenya kingpin Muranga leaders say,"uhuru, mt. kenya, muranga"
daily_nation,2019-01-12,"Uhuru, Ruto camps in battle for Jubilee","uhuru, ruto, jubilee"
standard,2019-01-12,"Inside Uhuru, Ruto cold war","uhuru, ruto"
standard,2019-01-12,ANC defend the handshake between Uhuru and Raila,"anc, uhuru, raila"
star,2019-01-12,Muranga leaders back Uhuru warn against early campaigns,"muranga, uhuru"
standard,2019-01-13,Ruto message to Uhuru is clear he will not turn the other cheek,"uhuru, ruto"
star,2019-01-13,Uhuru calls for unity says it will strengthen gains made by Jubilee since it took power,"uhuru, jubilee"
daily_nation,2019-01-14,Duale puts Uhuru-Ruto 222 pact debate to res,"uhuru, ruto"
standard,2019-01-15,Is there more than meets the eye in differences between Kuria Uhuru?,"kuria, uhuru"
star,2019-01-15,Uhuru meets Ruto warns against early campaigns,"uhuru, ruto"
standard,2019-01-16,Uhuru and Raila hand in Oparanya poll victory,"uhuru, raila, oparanya"
business_daily,2019-01-17,President Kenyatta's statement on the terrorist attack at Dusi,"uhuru, dusit"
star,2019-01-18,Somalia President calls Uhuru offers support in fight against national Shabaab,"somalia, uhuru, alshabaab"
star,2019-01-19,Uhuru Judiciary standoff on Justice Warsame takes a tur,"uhuru, judiciary, justice warsame"
daily_nation,2019-01-20,"Uhuru, Raila attend burial of Bruce Odhiambo","uhuru, raila, bruce odhiambo, kisumu"
daily_nation,2019-01-21,Uhuru and Raila's night ride in Kisum,"uhuru, raila, kisumu"
daily_nation,2019-01-21,"Uhuru, Raila congratulate DRC's Felix Tshisekedi","uhuru, raila, drc, felix tshisekedi"
standard,2019-01-21,Why Uhuru left his planes engine running in Kisum,"uhuru, kisumu"
standard,2019-01-21,Drama as Uhuru drives away with Raila in rare inciden,"uhuru, raila"
star,2019-01-21,Handshake led me to Raila's Bondo home says Uhuru's brother Muhoho,"raila, siaya, uhuru, kenyatta"
star,2019-01-21,Raila takes Uhuru on unplanned tour,"raila, uhuru"
star,2019-01-21,Uhuru Odinga urged to widen peace drive,"uhuru, raila"
star,2019-01-21,"Uhuru, Raila congratulate DR Congo's president-elect Tshisekedi","uhuru, raila, drc, tshisekedi"
star,2019-01-21,"Why Uhuru, Raila secretly left Kisumu Airport without pom","uhuru, raila, kisumu airport"
star,2019-01-22,Matatu owners ask Uhuru to halt BRT pla,"uhuru, brt"
business_daily,2019-01-23,Matiangi Rotich land powerful posts in  Uhuru order,"matiangi, rotich, uhuru"
star,2019-01-23,Uhuru has made constitutional change without referendum - Moses Kuria,"uhuru, kuria"
star,2019-01-23,Uhuru trims Rutos power in  order,"uhuru, ruto"
star,2019-01-23,Uhuru to leave for Eritrea on Thursday - State House,"uhuru, eritrea"
daily_nation,2019-01-24,OBBO: Remembering Jaramogi amid the Uhuru-Raila bromance,"odinga,raila, uhuru"
business_daily,2019-01-25,KABAARA: What Uhurus  Cabinet structure means technically,"kabaara, uhuru"
daily_nation,2019-01-25,"Uhuru, Raila at Tshisekedi inauguratio","uhuru, raila, tshisekedi"
standard,2019-01-25,Why Uhuru gave CS Matiang'i more powers | Week in Review,"uhuru, matiangi"
star,2019-01-25,Uhuru-Raila hand in Congo presidential poll revealed,"uhuru, drc"
star,2019-01-25,Uhuru taming Ruto Dusit staff memorial IG police brutality response : Your Breakfast Briefing,"uhuru, dusit, ig"
daily_nation,2019-01-26,Revealed: Uhuru s riot act to Ruto's me,"uhuru, ruto"
standard,2019-01-26,"Still friends! Uhuru, Ruto bromance during anti-corruption event ()","uhuru, ruto"
star,2019-01-26,Uhuru Coast stay raises jitters as Ruto meets allies in Nairobi,"uhuru, coast, nairobi"
star,2019-01-26,NCPB depots still closed despite Uhuru order to start purchasing,"ncpb, uhuru"
star,2019-01-26,KANYADUDI: Uhuru's Executive order pointer to impending referendum,"uhuru, kanyadudi"
star,2019-01-26,SING'OEI: Uhuru's changes do not water down Ruto's powers,"uhuru, ruto, singoei"
business_daily,2019-01-29,Uhuru orders removal of Makupa Causeway,"uhuru, makupa causeway"
daily_nation,2019-01-29,"Uhuru, Raila should honour Kodhek","uhuru, raila, kodhek"
business_daily,2019-01-30,MURIMI: How private equity cash can finance Uhuru's Big 4 Agenda,"murimi, uhuru"
star,2019-01-31,How NASA planned to cripple Uhuru rule,"nasa, uhuru"
star,2019-01-31,Raila's plan on Uhuru - Miguna Stop Ruto movement Man stabs baby: Your Breakfast Briefing,"raila, uhuru, miguna"
business_daily,2019-02-01,President Kenyatta bids farewell to US Ethiopian envoys,"uhuru, usa, ethiopia"
standard,2019-02-01,Uhuru dares CSs unhappy with Matiang'i oversight role to quit if unhappy | Press Review,"uhuru, matiangi"
star,2019-02-01,Uhuru tells off CSs Mtwapa sex tourism Ngong Forest wipe out: Your Breakfast Briefing,"uhuru, mtwapa, ngong forest"
standard,2019-02-03,Uhuru wants Kenyans to embrace and respect Raila,"uhuru, raila"
star,2019-02-04,Build roads pledged by Uhuru or I will lead protests - Kuria,"uhuru, kuria"
star,2019-02-04,KOIGI: In Uhuru's boma Ruto has to play meek to survive,"uhuru, ruto, koigi"
star,2019-02-05,Uhuru pressure forces Maraga to shuffle judges,"uhuru, maraga"
star,2019-02-05,Uhuru pressures Maraga Kuria targets Matiang'i Mombasa terror hubs: Your Breakfast Briefing,"uhuru, kuria, maraga, matiangi, mombasa"
standard,2019-02-06,Miguna on Uhuru 'mortal fear' of Ruto Raila schemes,"miguna, uhuru, raila, ruto"
business_daily,2019-02-07,Uhuru: End Harare sanctions,"uhuru, harare sanctions"
daily_nation,2019-02-07,Uhuru to push for lifting of Zimbabwe sanctions,"uhuru, zimbabwe"
daily_nation,2019-02-09,Uhuru challenges Sports Fund board,"uhuru, sports fund board"
star,2019-02-10,[] Uhuru leaves for AU heads of state summit in Ethiopia,"uhuru, au, ethiopia"
daily_nation,2019-02-11,Uhuru was duped on Eastlands title deeds,"uhuru, eastlands"
standard,2019-02-11,Jomo Gecaga Uhuru aide denied entry as Raila finesses Museveni at AU conference,"kenyatta, uhuru, raila, museveni, au"
standard,2019-02-11,Drama as Uhuru's aide denied access into AU Summit building,"uhuru, au"
star,2019-02-11,Omtatah wants Uhuru's State appointments quashed,"omtatah, uhuru"
star,2019-02-11,I did not say Uhuru should run for third term - Kalonzo,"uhuru, kalonzo"
daily_nation,2019-02-12,Kenyatta roots for closer ties among people of African descen,"uhuru, africa"
business_daily,2019-02-14,Nurses scoff at Uhurus return-to-work order,"nurses, uhuru"
daily_nation,2019-02-14,Only Uhuru matters in my bid for top seat says Ruto,"uhuru, ruto"
star,2019-02-14,Uhuru's Sh3bn nightmare Wavering Kalonzo criticised Kiambus 5 borns deaths: Your Breakfast Briefing,"uhuru, kalonzo, kiambu"
star,2019-02-14,Kalonzo praises Uhuru says he can become PM,"kalonzo, uhuru, pm"
star,2019-02-14,Were not afraid of arrest nurses tell Uhuru say strike will persis,"uhuru, nurses"
star,2019-02-14,Kakamega nurses issue strike notice despite Uhurus order,"kakamega, uhuru"
daily_nation,2019-02-15,Nyandika Mairoyo: Ailing legend seeks Uhuru's hel,"nyandika mairoyo, uhuru"
star,2019-02-15,Nurses defiant as Uhuru order takes effect today,"nurses, uhuru"
star,2019-02-16,Nurses defy Uhuru order as CS fails to lure medics back to work,"nurses, uhuru"
standard,2019-02-17,More nurses to go on strike as union defy Uhuru's orders,"uhuru, nurses"
daily_nation,2019-02-18,Kang'ata picks Uhuru over Ruto,"kangata, uhuru, ruto"
star,2019-02-19,Uhuru to launch Kisii hospital projects 25-bed ward,"uhuru, kisii"
business_daily,2019-02-20,Uhuru picks replacement for Kavuludi at police agency,"uhuru, kavuludi"
standard,2019-02-20,"Uhuru, Ruto and Raila expected in Kisii today","uhuru, ruto, raila, kisii"
business_daily,2019-02-21,Uhuru to nurses: Theres no money,"uhuru, nurses"
daily_nation,2019-02-21,Uhuru flags off  fleet of vehicles for the Inua Jamii programme,"uhuru, inua jamii programme"
standard,2019-02-21,Raila: My father Uhurus had poor family backgrounds,"uhuru, raila"
standard,2019-02-22,Damaris Wambui rejects the house Uhuru built her,"damaris wambui, uhuru"
star,2019-02-22,Uhuru team seeks Maraga's support to hasten cases stalling Sh3 billion projects,"uhuru, maraga"
star,2019-02-22,Why Nyamira leaders planned to boycott Uhuru's Kisii tour,"nyamira, uhuru, kisii"
standard,2019-02-24,How Uhuru trip exposed bitter political divisions in Gusii,"uhuru, kisii"
star,2019-02-24,A two-term MP from Central Kenya seems to be fighting hard to repair his tattered relationship with Uhuru...,"central, uhuru"
daily_nation,2019-02-25,Uhuru's  order on Nyanza projects,"uhuru, nyanza"
daily_nation,2019-02-26,Fake Uhuru voice used to trick Merali,"uhuru, merali"
standard,2019-02-26,Why Chief Justice Maraga accompanied Uhuru to Kisii,"maraga, uhuru, kisii"
star,2019-02-26,'Fake Uhuru' cons Nairobi businessman Sh8 million - Police,"uhuru, nairobi"
star,2019-02-26,Uhuru must lose sleep over Baringo killings,"uhuru, baringo"
daily_nation,2019-02-27,The collapse of Uhuru's laptop projec,"uhuru, laptop project"
star,2019-02-27,Uhuru's impersonators detained in Muthaiga to take plea Wednesday,"uhuru, muthaiga"
star,2019-02-28,Flashy 'fake' Uhuru Amina appeals for leftovers Kenya budgets unrealistic: Your Breakfast Briefing,"uhuru, amina, kenya"
star,2019-03-01,Cabinet reshuffle: Uhuru sacks Echesa moves CS Amina to Sports docke,"uhuru, echesa, amina, sports ministry"
star,2019-03-01,Uhuru vows arrests Sh4.8bn scam at OP KAA-KQ probe power games: Your Breakfast Briefing,"uhuru, op, kaa, kq"
standard,2019-03-02,Uhuru sacks Sports CS Rashid Echesa,"uhuru, ss ministry, echesa"
standard,2019-03-02,Uhuru off to Addis after meeting with Ruto,"uhuru, ethiopia,ruto"
standard,2019-03-02,Uhuru left with 1 days to appoint Boinnet's successor,"uhuru, boinnet"
star,2019-03-02,Uhuru to sack more CSs Ruto-Raila graft war Asbel Kiprop's return: Your Breakfast Briefing,"uhuru, asbel kiprop, ruto, raila"
daily_nation,2019-03-04,Day Uhuru scolded MP and governor,"uhuru, mp"
daily_nation,2019-03-04,Uhuru pushes for Africa's quick growth,"uhuru, africa"
standard,2019-03-04,Jubilee leaders say Uhuru is being used to fight DP,"uhuru, ruto, jubilee"
star,2019-03-04,[] Uhuru using handshake war on graft to extend term - MP Oscar Sudi,"uhuru, oscar sudi"
star,2019-03-04,Integration is key to Africa's progress Uhuru says,"africa, uhuru"
star,2019-03-04,[] Uhuru pays Kaloleni man Sh25K for choppers damage to house,"uhuru, kaloleni"
star,2019-03-04,Wetangula urges Uhuru to jail corrupt officials,"wetangula, uhuru"
daily_nation,2019-03-05,Uhuru meets Ethiopian Presiden,"uhuru, ethiopia"
standard,2019-03-05,Rais Uhuru kufungua rasmi Kongamano la Ugatuzi katika Kaunti ya Kirinyaga,"uhuru,kirinyaga"
daily_nation,2019-03-06,SHAW: Improve graft agencies capacity lest vice destroys Uhuru legacy,"uhuru, shaw"
standard,2019-03-06,Uhuru furious over Ruto ally's funeral jibe,"uhuru, ruto"
standard,2019-03-06,If you have evidence I've stolen go to DCI Uhuru tells leaders | Press Review,"uhuru, dci"
star,2019-03-06,Prophet Owuor-Saitoti link Uhuru scolds Ruto allies Husbands from hell: Your Breakfast Briefing,"owuor, uhuru, saitoti, ruto"
star,2019-03-06,Uhuru scoffs at Rutos allies vows graft fight unstoppable,"uhuru, ruto"
star,2019-03-06,MPs back Nyoro after Uhuru rebukes him over politicking,"nyoro, uhuru"
standard,2019-03-07,Businessman Kobia warns Oscar Sudi & company against 'disrespecting' Uhuru | PUNCHLINE,"kobia, oscar sudi, uhuru"
daily_nation,2019-03-10,Echesa: Uhuru must say why he fired me,"uhuru, echesa"
business_daily,2019-03-11,Uhuru picks cement tycoon as Egerton chancellor,"uhuru, egerton university"
daily_nation,2019-03-11,"Betrayal claims rock Uhuru, Ruto relatio","uhuru, ruto"
standard,2019-03-11,Raila reflects on his March 9 218 handshake with Uhuru a year o,"raila, uhuru, kenyatta"
business_daily,2019-03-12,Uhuru calls for deeper Kenya-Rwanda ties,"uhuru, kenya, rwanda"
daily_nation,2019-03-12,Tolgos apologises to Uhuru after dam threats,"uhuru, tolgos"
daily_nation,2019-03-12,Uhuru holds talks with Kagame Museveni,"uhuru, kagame, museveni"
standard,2019-03-12,Chinese leader Xi condoles with Uhuru following Ethiopian plane crash,"china, xi, uhuru, ethiopia"
standard,2019-03-13,Rift Valley leaders unload on Uhuru,"rift valley, uhuru"
business_daily,2019-03-14,Macron Uhuru set to sign Sh3bn rail defence deals,"macron, uhuru"
daily_nation,2019-03-14,Uhuru appoints Boinnet Tourism CAS,"uhuru, boinnet, cas"
daily_nation,2019-03-14,Gloves off as Ruto allies hit out at Uhuru,"uhuru, ruto"
daily_nation,2019-03-14,Uhuru Macron unveil Peugeout 38 Allure assembled in Thika Kenya,"uhuru, peugeot, macron, thika, kenya"
daily_nation,2019-03-14,Uhuru's full speech at state house during Macron's visi,"uhuru, macron"
daily_nation,2019-03-14,Uhuru Macron share a light moment after their address at State House,"uhuru, macron, state house"
standard,2019-03-14,"222 plan for Uhuru, Raila to form alliance","uhuru, raila"
standard,2019-03-14,Governor Sang: DCI is Uhuru's errand boy,"sang, dci, uhuru"
standard,2019-03-14,Uhuru nominates Hillary Mutyambai as the  Inspector General,"uhuru, hillary mutyambai, ig"
standard,2019-03-15,Uhurus sizzling love affair with France,"france, uhuru"
standard,2019-03-15,Uhuru pushes Macron to rush commuter rail projec,"uhuru, macron"
daily_nation,2019-03-16,Mbadi pours cold water on claim of ODM-Uhuru pac,"mbadi, odm,uhuru"
daily_nation,2019-03-18,Murkomen gives reasons why he doesn't acknowledge the Kenyatta-Raila handshake,"murkomen, uhuru, raila"
daily_nation,2019-03-18,"Uhuru, Ruto allies' battle cry threatens Jubilee survival","uhuru, ruto, jubilee"
standard,2019-03-18,Uhuru ought to do more so Rwanda Uganda quarrel doesnt hurt economy,"uhuru, rwanda, uganda"
standard,2019-03-18,"Is Raila, Uhuru's 'Chief Consultant' ?|House of Cards","raila, uhuru"
standard,2019-03-20,"#WeCannotIgnore: Kenyans top journalists put pressure on Uhuru, Ruto to address drough","uhuru, ruto"
standard,2019-03-22,Uhuru bashed for Namibia trip amid drought crisis,"uhuru, namibia"
