source,date,headline,entities
standard,2012-06-01,"Uhuru, Muthaura want ICC trials held in Kenya","uhuru, muthaura, icc"
daily_nation,2012-06-03,"Why CJ holds key to Uhuru, Ruto dreams","cj, uhuru, ruto"
standard,2012-06-04,PM Raila dismisses Uhuru's TNA Ruto's URP and Mudavadi's UDF saying they can't shake him.,"raila, uhuru, tna, ruto, urp, mudavadi, udf"
standard,2012-06-05,Why Uhuru snub of bus party disappointed Kirait,"uhuru, kiraitu"
standard,2012-06-06,Uhuru says no automatic TNA nomis,"uhuru, tna"
daily_nation,2012-06-09,POLITICALLY CORRECT: Saluting Uhuru for discarding Kanu and its wicked old ways,"kanu, uhuru"
standard,2012-06-09,Uhuru (third left) and Makadara MP Gidion Mbuvi,"uhuru, sonko"
daily_nation,2012-06-10,Uhuru blames Kibaki and Raila for violence,"uhuru, kibaki, raila"
daily_nation,2012-06-10,MUTUA: Why Uhuru and Ruto must heed Githongos call,"makau, uhuru, githongo"
standard,2012-06-10,Uhuru move shatters Kiraitus kingmaker dream,"uhuru, kiraitu"
standard,2012-06-14,ICC status conference for Uhuru and Muthaura,"icc, uhuru, muthaura"
standard,2012-06-22,Uhurus statement at Saitoti burial raises eyebrows,"saitoti, uhuru"
standard,2012-06-26,Kiraitu tells Uhuru to work with his party or risk defea,"kiraitu, uhuru"
standard,2012-06-26,"Siasa 212; Mudavadi Raila, Uhuru Wamalwa","mudavadi, raila, uhuru, wamalwa"
daily_nation,2012-06-27,Uhuru denies alliance talks with Mudavadi,"uhuru, mudavadi"
daily_nation,2012-06-28,MPs demand to know Uhuru Mudavadi role,"uhuru, mudavadi"
standard,2012-06-29,Uhuru embarks on a tour of Meru region Friday in search presidential votes,"uhuru, meru"
standard,2012-07-01,Central parties supremacy battles hurting Uhurus presidential bid,"uhuru, central"
standard,2012-07-04,Uhuru ends Meru tour with calls to end wrangles,"uhuru, meru"
standard,2012-07-05,Uhuru team ICC agree on release of evidence,"uhuru, icc"
standard,2012-07-09,"Muthaura, Uhuru may face  ICC charges","muthaura, uhuru, icc"
standard,2012-07-09,Uhuru downplays supremacy battles in Meru tour,"uhuru, meru"
standard,2012-07-10,"ICC eases way for Ruto, Uhuru to ru","icc, ruto, uhuru"
daily_nation,2012-07-12,Views sought on Ruto and Uhuru bids,"uhuru, ruto"
standard,2012-07-12,"Uhuru, Ruto to stand trial during presidential run-off","uhuru, ruto"
standard,2012-07-12,Uhuru-Ruto Free To Contest Polls,"uhuru, ruto"
daily_nation,2012-07-13,Uhuru and Ruto to be vetted by ethics team,"uhuru, ruto"
standard,2012-07-13,Mudavadi: Why Uhuru owes me,"mudavadi, uhuru"
standard,2012-07-15,"Courts could lock Uhuru, Ruto ou","uhuru, ruto"
standard,2012-07-15,Uhuru Mudavadi talks welcomed,"uhuru, mudavadi"
standard,2012-07-16,"CJ Willy Mutunga says only the Kenyan Courts can decide Uhuru, Ruto fate","cj, mutunga, uhuru, ruto"
standard,2012-07-18,Githongo: 'Ni hatia Uhuru na Ruto kuwania urais',"githongo,ruto, uhuru"
standard,2012-07-20,Uhuru woos Turkana pledges more developmen,"uhuru, turkana"
standard,2012-07-20,TNA wants parties supporting Uhuru to dissolve,"tna, uhuru"
daily_nation,2012-07-22,Why Uhuru allies are uneasy with Mudavadi foray in Central,"uhuru, mudavadi, central"
standard,2012-07-23,Uhuru exit may end family dominance in Gatundu,"uhuru, gatundu"
daily_nation,2012-07-28,KIAI: Ruto and Uhuru making a mockery of Constitution by standing for office,"uhuru, kiai, ruto"
standard,2012-07-29,Palace wars over Uhuru Musalia,"uhuru, mudavadi"
daily_nation,2012-07-31,GACHOKA: Diatribe against Uhuru and Ruto is a conspiracy to stop them running,"uhuru, ruto, gachoka"
standard,2012-08-01,Uhuru faults Mutunga on integrity and leadershi,"uhuru, mutunga"
daily_nation,2012-08-05,MUTIGA: Uhuru-Raila grudge match shows ideological battle of 196s no,"mutiga, uhuru, raila"
standard,2012-08-05,Wamalwa says he is y to work with Uhuru in elections,"wamalwa, uhuru"
standard,2012-08-05,Fresh intrigues as Central split over Uhuru ambitio,"central, uhuru"
standard,2012-08-06,Minister urges Karua to join Uhuru ahead of poll,"jamleck kamau, karua, uhuru"
daily_nation,2012-08-09,Why we should let the courts decide whether Uhuru and Ruto can contes,"uhuru, ruto"
standard,2012-08-10,Why Uhuru move unsettles G7 team,"uhuru, g7"
daily_nation,2012-08-11,Uhuru accuses his rivals of using ICC case to weaken his campaig,"uhuru, icc"
daily_nation,2012-08-12,Why Uhuru and Ruto are uneasy with Clinton visi,"uhuru, clinton, ruto"
daily_nation,2012-08-12,By-elections a double-edged sword for Uhurus TNA party,"uhuru, tna"
standard,2012-08-12,G7 leaders tense as they react to Uhuru deal,"g7, uhuru"
standard,2012-08-12,VP casts lonely figure as Uhuru Kiraitu enter pac,"kalonzo, uhuru, kiraitu"
standard,2012-08-13,Is Uhuru grooming Wamalwa as his running mate?,"uhuru, wamalwa"
standard,2012-08-13,Kiraitu working on Uhuru Mudavadi unity,"uhuru, mudavadi"
daily_nation,2012-08-20,Mudavadi and Uhuru battle for Kibaki vote,"mudavadi, uhuru, kibaki"
daily_nation,2012-08-26,Kibaki in dilemma over Uhurus bid,"uhuru, kibaki"
standard,2012-08-26,Why Uhuru is no longer at ease with Mudavadi,"uhuru, mudavadi"
standard,2012-08-29,Split as PNU snubs Uhuru party deal,"pnu, uhuru"
daily_nation,2012-08-30,Uhuru bid for State House rattled,"uhuru, state house"
standard,2012-08-31,"Let Uhuru, Ruto vie for presidency Kalonzo","uhuru, ruto, kalonzo"
standard,2012-09-02,"Raila, Uhuru gameplan ruffles feathers in by-elections","raila, uhuru"
daily_nation,2012-09-04,Kiraitu: We support Uhurus bid for top sea,"uhuru, kiraitu"
standard,2012-09-08,Uhuru campaigns for TNA and Ruto raises 41 millio,"uhuru, tna, ruto"
standard,2012-09-09,Uhuru cuts links with parties over support to TNA,"uhuru, tna"
standard,2012-09-13,Uhuru urges leaders to get TNA ticke,"uhuru, tna"
standard,2012-09-14,Uhuru pleads with voters to pick TNA candidate in civic by-electio,"uhuru, tna"
daily_nation,2012-09-18,Big win for Uhuru and Raila,"uhuru, raila"
daily_nation,2012-09-19,Raila and Uhuru camps celebrate election victories,"raila, uhuru"
standard,2012-09-19,"Raila, Uhuru parties lock out rivals in by-elections","raila, uhuru"
standard,2012-09-19,Uhuru visit promises Nyanza Central bond,"uhuru, nyanza, central"
standard,2012-09-20,Uhuru basks in TNA glory,"uhuru, tna"
standard,2012-09-21,Musyimi ditches DP joins Uhurus TNA,"musyimi, democratic party, uhuru, tna"
standard,2012-09-23,How G7 plans to shake up Uhuru party,"g7, uhuru"
daily_nation,2012-09-28,Uhurus TNA has highest number of listed members,"tna, uhuru"
standard,2012-09-28,"Why Uhuru, Ruto now on their ow","uhuru, ruto"
standard,2012-09-28,Uhuru: TNA nominations will be free and fair,"uhuru, tna"
standard,2012-09-30,Haji hints at joining Uhurus TNA,"uhuru, tna, haji"
standard,2012-10-03,Synovate Poll- Uhuru Gains Popularity,"synoe, uhuru"
standard,2012-10-05,"Uhuru, Ruto and Kalonzo in fresh unity talks","uhuru, ruto, kalonzo"
standard,2012-10-05,Kiraitu party could endorse Uhuru or Kalonzo,"uhuru, kalonzo, kiraitu"
standard,2012-10-06,Uhuru is now official driver of APK party,"uhuru, apk"
standard,2012-10-06,Uhuru: we didnt target Raila,"uhuru, raila"
standard,2012-10-07,"Nomination headache for Raila, Uhuru parties","raila, uhuru"
standard,2012-10-07,"Ruto, Uhuru camps seek House majority in polls","uhuru, ruto"
standard,2012-10-08,"State wants Uhuru, Ruto cases postponed","uhuru, ruto"
standard,2012-10-10,"Raila, Uhuru shift gears","raila, uhuru"
standard,2012-10-13,"Uhuru, Ruto plot to shake up G7","uhuru, ruto, g7"
standard,2012-10-13,"Annan: Uhuru, Ruto presidency bad for Kenya","annan, uhuru, ruto"
standard,2012-10-13,Raila and Uhuru campaign teams must shun bus station campaigns,"raila, uhuru"
standard,2012-10-13,Musyimi withdraws bid in Uhurus favour,"uhuru, musyimi"
standard,2012-10-14,Kilimo defection boosts Uhuru standing in North Rif,"kilimo, uhuru, north rift"
standard,2012-10-16,"Kalonzo in talks with Uhuru, Ruto","kalonzo, uhuru, ruto"
standard,2012-10-17,Why I am wary of Uhuru Kalonzo ad Raila,"uhuru, kalonzo, raila"
standard,2012-10-19,Mudavadi fury with Uhuru over defections,"mudavadi, uhuru"
standard,2012-10-21,Secrets of Raila-Ruto-Uhuru talks,"raila, ruto, uhuru"
standard,2012-10-21,"Speculation over Annan remark on Uhuru, Ruto","annan, uhuru, ruto"
standard,2012-10-21,"Bensouda jets in as Uhuru, Ruto intensify campaigns","bensouda, uhuru, ruto"
standard,2012-10-22,"Uhuru, Ruto working on compromise candidate","uhuru, ruto"
standard,2012-10-22,ICC: Uhuru takes TNA URP team to Kikwete,"icc, uhuru, tna, urp, kikwete"
standard,2012-10-23,"Hague warning on Uhuru, Ruto","uhuru, ruto, icc"
standard,2012-10-24,The Uhuru - Ruto dilemma,"uhuru, ruto"
standard,2012-10-25,Uhuru meets South Sudan VP,"uhuru, south sudan, riak machar"
standard,2012-10-25,"ICC Status Conference: Uhuru, Muthaura","icc, uhuru, muthaura"
standard,2012-10-27,"Bensoudas stern warning on Ruto, Uhuru trials","bensouda, uhuru, ruto"
standard,2012-10-27,Uhuru bags Rai preaches unity in Coast campaig,"uhuru, rai, coast"
standard,2012-10-30,Uhuru - Ruto ICC cases,"uhuru, ruto, icc"
standard,2012-10-30,Shebesh leads Uhuru's birthday events,"uhuru, shebesh"
standard,2012-10-31,Raila goes flat out for Ruto as a section of Kalenjin elders express dislike for Uhuru-Ruto pre-election pac,"raila, ruto, kalenjin, uhuru"
standard,2012-11-02,TNA seeks to speed up High Court case challenging Uhuru's eligibility in Elections 213,"tna, high, uhuru"
standard,2012-11-04,"Uhuru, Ruto political deal raises questions","uhuru, ruto"
standard,2012-11-05,"The Uhuru, Ruto plo","uhuru, ruto"
standard,2012-11-05,Uhuru and Ruto should not lure Kenyans to tempt the gods,"uhuru, ruto"
standard,2012-11-06,"Reality check on Ruto, Uhuru presidential bids","uhuru, ruto"
standard,2012-11-07,"Uhuru, Ruto take on Raila over ICC","raila, icc, uhuru, ruto"
standard,2012-11-08,Uhuru atafuta Kuungwa mkono Burundi,"uhuru, burundi"
standard,2012-11-09,"Why Uhuru, Ruto case could start afresh","uhuru, ruto"
standard,2012-11-09,"Uhuru, Ruto alliance","uhuru, ruto"
standard,2012-11-10,"ICC rejects Uhuru, Muthaura appeal","icc, uhuru, muthaura"
standard,2012-11-11,What Uhuru-Ruto  alliance means,"uhuru, ruto"
standard,2012-11-12,"Polls: Uhuru, Raila running mate options","uhuru, raila"
standard,2012-11-12,Uhuru-Ruto ticket not enough?,"uhuru, ruto"
standard,2012-11-12,Why Obama will keep off Kenya when Uhuru or Ruto is presiden,"obama, uhuru, ruto"
standard,2012-11-13,Uhuru meets South Sudan leader assures peace in polls,"uhuru, south sudan"
standard,2012-11-14,"Karua tells voters to reject Ruto, Uhuru bids","karua, ruto, uhuru"
standard,2012-11-14,Uhuru and Ruto on shuttle diplomacy,"uhuru, ruto"
standard,2012-11-16,"Why Uhuru, Ruto deal must wai","uhuru, ruto"
standard,2012-11-16,Imanyara blasts Uhuru over threats,"imanyara, uhuru"
standard,2012-11-16,: Uhuru-Ruto vow to unite Kenya,"uhuru, ruto"
standard,2012-11-16,"Uhuru, Ruto hold joint rally seal deal","uhuru, ruto"
standard,2012-11-16,Uhuru set to take campaigns to Narok,"uhuru, narok"
standard,2012-11-17,Uhuru suffers blow after APK severs links with TNA,"uhuru, tna, apk"
standard,2012-11-18,Keep off TNA affairs Uhuru supporters warn ODM,"tna, uhuru, odm"
standard,2012-11-18,Is the honeymoon over for Uhuru in Mt Kenya region?,"uhuru, mt. kenya"
standard,2012-11-19,: APK rejects Uhuru,"uhuru, apk"
standard,2012-11-20,"Jirongo now dismisses Uhuru, Ruto alliance","jirongo, uhuru, ruto"
standard,2012-11-22,"Minister takes on Uhuru, Ruto over Hague cases","uhuru, ruto"
standard,2012-11-23,"Youths hold demo over Ruto, Uhuru pac","ruto, uhuru"
standard,2012-11-25,"Wamalwa plot to flee Uhuru, Ruto","wamalwa, uhuru, ruto"
standard,2012-11-25,": Uhuru, Ruto case to proceed","uhuru, ruto"
standard,2012-11-25,"Judges to begin hearing Uhuru, Ruto integrity case","uhuru, ruto, judges"
standard,2012-11-26,Wamalwa exit puts Uhuru-Ruto pact in jeopardy,"wamalwa, uhuru, ruto"
standard,2012-11-26,Youth lobby denounce Uhuru-Ruto alliance,"uhuru, ruto"
standard,2012-11-26,"Makau grudge against Uhuru, Ruto unprofessional","makau, uhuru, ruto"
standard,2012-11-27,"Uhuru, Ruto teams differ over regions","uhuru, ruto"
standard,2012-11-27,Why Uhuru Kiraitu talks collapsed,"uhuru, kiraitu"
standard,2012-11-28,Uhuru: Poll deal with Ruto party not yet sealed,"uhuru, ruto"
standard,2012-11-29,Confusion as Uhuru retracts statement on pact with URP,"uhuru, urp"
business_daily,2012-11-30,"Uhuru, Ruto eligibility case withdraw","uhuru, ruto"
standard,2012-11-30,"Court clears Uhuru, Ruto but another suit expected","uhuru, ruto"
standard,2012-11-30,Railas answer to Uhuru-Ruto pac,"uhuru, ruto"
standard,2012-11-30,Uhuru-Ruto election deal elicits heated reactions,"uhuru, ruto"
standard,2012-12-01,"Uhuru, Ruto face fresh integrity case","uhuru, ruto"
standard,2012-12-01,Raila dismisses Uhuru-Ruto alliance as weak,"raila, uhuru, ruto"
standard,2012-12-02,Rift voters jittery over Ruto-Uhuru deal,"ruto, uhuru"
standard,2012-12-02,Uhuru dilemma deepens as TNA stares at cracks,"uhuru, tna"
standard,2012-12-03,"Uhuru, Ruto formally unveil alliance","uhuru, ruto"
standard,2012-12-03,Uhuru campaigns in Naivasha,"uhuru, naivasha"
standard,2012-12-03,: Uhuru-Ruto merger meeting updates,"uhuru, ruto"
standard,2012-12-04,"Uhuru, Ruto promise to end bloodshed","uhuru, ruto"
standard,2012-12-04,"Leaders react to Uhuru, Ruto pre-poll coalitio","uhuru, ruto"
standard,2012-12-04,: Kenyan's take on 'Uhuruto' alliance,"uhuru, ruto"
standard,2012-12-04,: Uhuru signs deal with Ruto,"uhuru, ruto"
standard,2012-12-04,"Uhuru, Ruto integrity case certified urgen","uhuru, ruto"
standard,2012-12-05,"Raila Kalonzo seal deal as Mudavadi joins Uhuru, Ruto","raila, kalonzo, mudavadi, uhuru, ruto"
standard,2012-12-05,Musalia Uhuru and Ruto in  deal,"mudavadi, uhuru, ruto"
